timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime,Connect
1537171543292,8,SignUp,200,,Scenario 1 1-199,true,,160,1,1,8,0,2
1537171543326,9,SignUp,200,,Scenario 1 1-200,true,,160,1,1,9,0,1
1537171543359,8,SignUp,200,,Scenario 1 1-201,true,,160,1,1,8,0,1
1537171543392,7,SignUp,200,,Scenario 1 1-202,true,,160,1,1,7,0,1
1537171543426,8,SignUp,200,,Scenario 1 1-203,true,,160,1,1,8,0,1
1537171543459,13,SignUp,200,,Scenario 1 1-204,true,,160,1,1,13,0,2
1537171543494,14,SignUp,200,,Scenario 1 1-205,true,,160,1,1,14,0,2
1537171543527,15,SignUp,200,,Scenario 1 1-206,true,,160,1,1,15,0,3
1537171543560,15,SignUp,200,,Scenario 1 1-207,true,,160,1,1,15,0,3
1537171543593,16,SignUp,200,,Scenario 1 1-208,true,,160,1,1,16,0,2
1537171543627,14,SignUp,200,,Scenario 1 1-209,true,,160,1,1,14,0,2
1537171543660,15,SignUp,200,,Scenario 1 1-210,true,,160,1,1,15,0,2
1537171543693,14,SignUp,200,,Scenario 1 1-211,true,,160,1,1,14,0,2
1537171543726,13,SignUp,200,,Scenario 1 1-212,true,,160,1,1,12,0,2
1537171543759,9,SignUp,200,,Scenario 1 1-213,true,,160,1,1,9,0,2
1537171543792,14,SignUp,200,,Scenario 1 1-214,true,,160,1,1,14,0,3
1537171543827,14,SignUp,200,,Scenario 1 1-215,true,,160,1,1,14,0,3
1537171543859,15,SignUp,200,,Scenario 1 1-216,true,,160,1,1,15,0,3
1537171543893,15,SignUp,200,,Scenario 1 1-217,true,,160,1,1,14,0,3
1537171543927,14,SignUp,200,,Scenario 1 1-218,true,,160,1,1,14,0,3
1537171543961,12,SignUp,200,,Scenario 1 1-219,true,,160,1,1,12,0,2
1537171543992,16,SignUp,200,,Scenario 1 1-220,true,,160,1,1,16,0,3
1537171544026,14,SignUp,200,,Scenario 1 1-221,true,,160,1,1,13,0,2
1537171544060,17,SignUp,200,,Scenario 1 1-222,true,,160,1,1,17,0,3
1537171544092,13,SignUp,200,,Scenario 1 1-223,true,,160,1,1,13,0,2
1537171544160,27,SignUp,200,,Scenario 1 1-225,true,,160,2,2,27,0,4
1537171544127,57,SignUp,200,,Scenario 1 1-224,true,,160,2,2,57,0,3
1537171544192,16,SignUp,200,,Scenario 1 1-226,true,,160,1,1,16,0,3
1537171544226,9,SignUp,200,,Scenario 1 1-227,true,,160,1,1,9,0,1
1537171544258,6,SignUp,200,,Scenario 1 1-228,true,,160,1,1,6,0,2
1537171544291,6,SignUp,200,,Scenario 1 1-229,true,,160,1,1,6,0,1
1537171544326,13,SignUp,200,,Scenario 1 1-230,true,,160,1,1,13,0,2
1537171544359,15,SignUp,200,,Scenario 1 1-231,true,,160,1,1,15,0,3
1537171544392,21,SignUp,200,,Scenario 1 1-232,true,,160,1,1,21,0,3
1537171544426,22,SignUp,200,,Scenario 1 1-233,true,,160,1,1,22,0,4
1537171544460,16,SignUp,200,,Scenario 1 1-234,true,,160,1,1,16,0,2
1537171544493,19,SignUp,200,,Scenario 1 1-235,true,,160,1,1,19,0,4
1537171544527,30,SignUp,200,,Scenario 1 1-236,true,,160,1,1,30,0,3
1537171544562,14,SignUp,200,,Scenario 1 1-237,true,,160,1,1,14,0,3
1537171544592,9,SignUp,200,,Scenario 1 1-238,true,,160,1,1,9,0,2
1537171544627,10,SignUp,200,,Scenario 1 1-239,true,,160,1,1,10,0,2
1537171544659,16,SignUp,200,,Scenario 1 1-240,true,,160,1,1,16,0,2
1537171544691,10,SignUp,200,,Scenario 1 1-241,true,,160,1,1,10,0,2
1537171544725,9,SignUp,200,,Scenario 1 1-242,true,,160,1,1,9,0,1
1537171544758,9,SignUp,200,,Scenario 1 1-243,true,,160,1,1,8,0,1
1537171544793,8,SignUp,200,,Scenario 1 1-244,true,,160,1,1,8,0,1
1537171544826,10,SignUp,200,,Scenario 1 1-245,true,,160,1,1,10,0,1
1537171544860,9,SignUp,200,,Scenario 1 1-246,true,,160,1,1,9,0,1
1537171544893,13,SignUp,200,,Scenario 1 1-247,true,,160,1,1,13,0,1
1537171544926,9,SignUp,200,,Scenario 1 1-248,true,,160,1,1,9,0,1
1537171544960,15,SignUp,200,,Scenario 1 1-249,true,,160,1,1,15,0,1
1537171544993,12,SignUp,200,,Scenario 1 1-250,true,,160,1,1,12,0,2
1537171545026,14,SignUp,200,,Scenario 1 1-251,true,,160,1,1,14,0,2
1537171545059,6,SignUp,200,,Scenario 1 1-252,true,,160,1,1,6,0,1
1537171545093,7,SignUp,200,,Scenario 1 1-253,true,,160,1,1,7,0,1
1537171545127,7,SignUp,200,,Scenario 1 1-254,true,,160,1,1,7,0,1
1537171545158,7,SignUp,200,,Scenario 1 1-255,true,,160,1,1,7,0,1
1537171545193,6,SignUp,200,,Scenario 1 1-256,true,,160,1,1,6,0,1
1537171545226,7,SignUp,200,,Scenario 1 1-257,true,,160,1,1,7,0,1
